,train_recall,train_rauc,train_f1,train_mcc,train_precision,train_specificity,train_accuracy,train_amr,test_recall,test_rauc,test_f1,test_mcc,test_precision,test_specificity,test_accuracy,test_amr
SVM,0.995368721054507,0.994506125083572,0.995457379531487,0.98897462661294,0.99554605380367,0.993643529112637,0.994658007751126,0.005341992248874,0.995732574679943,0.993279131376669,0.994671403197158,0.987017785259334,0.99361249112846,0.990825688073395,0.993715961457897,0.00628403854210302
SVMcv5avg,0.995012464822789,0.994455142472359,0.995366916545113,0.988761015839565,0.995722178417416,0.99389782012193,0.994553253182342,0.00544674681765773,0.99216305319181,0.992013512977662,0.993224061475385,0.983588402257938,0.994293160513412,0.991863972763514,0.992039361635022,0.00796063836497822
NAIVEBAYES,1,0.5,0.74058439416925,0,0.588038127160365,0,0.588038127160365,0.411961872839636,1,0.5,0.74136567360928,0,0.58902387934646,0,0.58902387934646,0.41097612065354
NAIVEBAYEScv5avg,0.982542863504788,0.503123989744132,0.736756736047481,0.0102436705978838,0.589720234344695,0.0237051159834763,0.587540615770517,0.412459384229483,0.984327693677649,0.500306340477501,0.736181352760345,0.00111385294400037,0.588199378803472,0.0162849872773537,0.585523738477699,0.414476261522301
CATBOOST,0.962593516209476,0.942268026856327,0.954348785871965,0.888010983568744,0.946244090351952,0.921942537503178,0.945846862888866,0.0541531371111343,0.965149359886202,0.932115964346771,0.948287910552062,0.871770047137197,0.932005494505495,0.89908256880734,0.937997486384583,0.0620025136154169
CATBOOSTcv5avg,0.966289757708749,0.945673486105228,0.957295606859868,0.895176945588654,0.948468772542156,0.925057214501707,0.949303515845306,0.0506964841546936,0.963127159711938,0.941009861836369,0.953660553652868,0.886141523618975,0.94447373826587,0.918892563960801,0.944904077955345,0.0550959220446548
MNCA,0.998574991093694,0.998524719040364,0.998752895065028,0.996973628952769,0.998930862437634,0.998474446987033,0.998533570755211,0.0014664292447889,0.998577524893314,0.997250026462967,0.997867803837953,0.994808073757092,0.997159090909091,0.99592252803262,0.997486384583159,0.00251361541684125
MNCAcv5avg,0.998218689283187,0.997806213535186,0.998196791396825,0.995622094833761,0.998175214655464,0.997393737787186,0.997878864774835,0.00212113522516495,0.995903194111774,0.996171234872701,0.996702194545598,0.992006938904587,0.99750412866512,0.996439275633627,0.996124173452288,0.00387582654771148
NN_FZ,0.953509084431778,0.972686400847976,0.973361214655878,0.938333861941381,0.99405756731662,0.991863717264175,0.969309730805489,0.0306902691945113,0.951635846372689,0.972759819210809,0.973090909090909,0.937898689475941,0.995535714285714,0.99388379204893,0.968998743192292,0.0310012568077084
NN_FZcv5avg,0.975061293062032,0.965789923724343,0.97234048160834,0.934671257641791,0.971032039787851,0.956518554386654,0.967423792253525,0.0325762077464754,0.974532184767374,0.965914355669719,0.972339127052534,0.934488942721311,0.971408083268068,0.957296526572063,0.967425614134206,0.0325743858657942
