,train_recall,train_rauc,train_f1,train_mcc,train_precision,train_specificity,train_accuracy,train_amr,test_recall,test_rauc,test_f1,test_mcc,test_precision,test_specificity,test_accuracy,test_amr
SVM,0.995824255628177,0.996179025561056,0.996638502770964,0.992065114514041,0.997454082560466,0.996533795493934,0.996124436995915,0.00387556300408509,0.993464052287582,0.991781531094286,0.993103448275862,0.983693214209533,0.992743105950653,0.99009900990099,0.99204021784667,0.00795978215333049
SVMcv5avg,0.996051169367926,0.995673524965456,0.996300169996338,0.991258411458027,0.996550295264213,0.995295880562987,0.995731647545064,0.00426835245493653,0.993464116930492,0.993637078892939,0.994457793804668,0.986923716251101,0.995456825255447,0.993810040855387,0.993610919891723,0.00638908010827741
NAIVEBAYES,1,0.5,0.73171703752906,0,0.576935162878391,0,0.576935162878391,0.423064837121609,1,0.5,0.731668437832094,0,0.576874738165061,0,0.576874738165061,0.423125261834939
NAIVEBAYEScv5avg,0.982296867907399,0.503308087419046,0.728038542684603,0.0107765633228801,0.578734595609732,0.0243193069306931,0.577013717104642,0.422986282895358,0.982395644283122,0.503465480134126,0.728126862167902,0.0112801339462131,0.578820043659613,0.0245353159851301,0.577144690759395,0.422855309240605
CATBOOST,0.969498910675381,0.953924993837319,0.962422276290889,0.910422609844487,0.955448201825013,0.938351076999257,0.956321357494501,0.0436786425054991,0.958605664488017,0.933758277788563,0.946575833632126,0.871938335844755,0.934844192634561,0.908910891089109,0.937578550481776,0.0624214495182237
CATBOOSTcv5avg,0.971405485907834,0.953238130719713,0.962255296899567,0.909862443644561,0.953282389306255,0.935070775531592,0.956033389628908,0.0439666103710924,0.964959919294619,0.943111715202047,0.954150362206743,0.890253497797179,0.943615831039973,0.921263511109475,0.946474758583617,0.0535252414163826
MNCA,0.997276688453159,0.997276621027768,0.997638939338903,0.99442228102444,0.998001453488372,0.997276553602377,0.997276631402535,0.00272336859746514,0.996368917937545,0.99570921144402,0.996368917937545,0.99141842288804,0.996368917937545,0.995049504950495,0.995810640971931,0.00418935902806872
MNCAcv5avg,0.996868082501109,0.996360638401913,0.996912872070558,0.992705778056994,0.996957980173354,0.995853194302717,0.996438710906437,0.00356128909356308,0.995642964406224,0.995097943120579,0.995822963260883,0.990134992874883,0.996005749383772,0.994552921834935,0.995181819927102,0.00481818007289803
NN_FZ,0.965141612200436,0.972914950690463,0.975233902036324,0.942563233821847,0.985539488320356,0.98068828918049,0.971718864564785,0.0282811354352153,0.961510530137981,0.961943383880872,0.966776195691858,0.922137996850057,0.972099853157122,0.962376237623762,0.961876832844575,0.0381231671554252
NN_FZcv5avg,0.936684756774417,0.893382004564311,0.916949766167289,0.79713570351774,0.901356406551067,0.850079252354205,0.900044826623929,0.0999551733760712,0.936447644527084,0.892845787248145,0.916170958694855,0.796034318654212,0.899594606860418,0.849243929969205,0.899557236457782,0.100442763542218
